,Name,Description,Latitude,Longitude,InfoURL,ImageURL
,UCSB,A great university located along the California coast!,34.416929,-119.845991,"https://en.wikipedia.org/wiki/University_of_California,_Santa_Barbara",https://www.history.ucsb.edu/wp-content/uploads/LagoonFall2014-banner.jpg
,Seattle,Seaport city on the West Coast and the largest city in the Pacific Northwest region of the United States.,47.6062,-122.3321,https://en.wikipedia.org/wiki/Seattle,https://www.langan.com/wp-content/uploads/2020/01/Seattle-996x554-1.jpg
,Portland,"Largest city in the state of Oregon known for its parks, bridges and bicycle paths, as well as for its eco-friendliness and its microbreweries and coffeehouses. ",45.5051,-122.6750,https://en.wikipedia.org/wiki/Portland_Oregon,"https://media.cntraveler.com/photos/5c002d131b3466234d813837/master/w_1200,c_limit/GettyImages-909700234.jpg"
,San Francisco,"Large city that is the cultural, commercial, and financial center of Northern California. It is the densest city in the nation after New York. ",37.7749,-122.4194,https://en.wikipedia.org/wiki/San_Francisco,https://qtxasset.com/styles/breakpoint_sm_default_480px_w/s3/travelagentcentral/1597853698/GettyImages-1136437406.jpg/GettyImages-1136437406.jpg?J3neYunxLcKFuuBDV7tatFNIawH6Ascs&itok=TBkxtz0m
,Los Angeles ,Sprawling Southern California city and the center of the nation’s film and television industry. It is the 2nd largest city in the United States.,34.0522,-118.2437,https://en.wikipedia.org/wiki/Los_Angeles,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Hollywood_Sign_%28Zuschnitt%29.jpg/1200px-Hollywood_Sign_%28Zuschnitt%29.jpg
,San Diego,"A city on the Pacific coast of California known for its beaches, parks and warm climate. It sits on the southern edge of the state and borders the country of Mexico.",32.7157,-117.1611,https://en.wikipedia.org/wiki/San_Diego,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8b/DowntownSanDiegofromtheAirNov08.jpg/325px-DowntownSanDiegofromtheAirNov08.jpg
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
